MSA Code,MSA Name,FIPS,COUNTY
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13223,"Paulding County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13217,"Newton County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13199,"Meriwether County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13171,"Lamar County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13159,"Jasper County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13151,"Henry County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13149,"Heard County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13143,"Haralson County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13135,"Gwinnett County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13121,"Fulton County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13117,"Forsyth County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13113,"Fayette County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13097,"Douglas County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13089,"DeKalb County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13085,"Dawson County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13077,"Coweta County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13067,"Cobb County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13063,"Clayton County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13057,"Cherokee County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13045,"Carroll County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13035,"Butts County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13015,"Bartow County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13013,"Barrow County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",13297,"Walton County, GA"
12100,"Atlantic City, NJ Metropolitan Statistical Area",34001,"Atlantic County, NJ"
12220,"Auburn-Opelika, AL Metropolitan Statistical Area",1081,"Lee County, AL"
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",45003,"Aiken County, SC"
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",13245,"Richmond County, GA"
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",13189,"McDuffie County, GA"
