MSA Code,MSA Name,FIPS,COUNTY
19380,"Dayton, OH Metropolitan Statistical Area",39057,"Greene County, OH"
19380,"Dayton, OH Metropolitan Statistical Area",39135,"Preble County, OH"
19460,"Decatur, AL Metropolitan Statistical Area",1079,"Lawrence County, AL"
19460,"Decatur, AL Metropolitan Statistical Area",1103,"Morgan County, AL"
19500,"Decatur, IL Metropolitan Statistical Area",17115,"Macon County, IL"
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",12127,"Volusia County, FL"
19740,"Denver-Aurora, CO Metropolitan Statistical Area",8059,"Jefferson County, CO"
19740,"Denver-Aurora, CO Metropolitan Statistical Area",8047,"Gilpin County, CO"
19740,"Denver-Aurora, CO Metropolitan Statistical Area",8039,"Elbert County, CO"
19740,"Denver-Aurora, CO Metropolitan Statistical Area",8035,"Douglas County, CO"
19740,"Denver-Aurora, CO Metropolitan Statistical Area",8031,"Denver County, CO"
19740,"Denver-Aurora, CO Metropolitan Statistical Area",8019,"Clear Creek County, CO"
19740,"Denver-Aurora, CO Metropolitan Statistical Area",8005,"Arapahoe County, CO"
19740,"Denver-Aurora, CO Metropolitan Statistical Area",8001,"Adams County, CO"
19740,"Denver-Aurora, CO Metropolitan Statistical Area",8093,"Park County, CO"
19780,"Des Moines, IA Metropolitan Statistical Area",19153,"Polk County, IA"
19780,"Des Moines, IA Metropolitan Statistical Area",19121,"Madison County, IA"
19780,"Des Moines, IA Metropolitan Statistical Area",19077,"Guthrie County, IA"
19780,"Des Moines, IA Metropolitan Statistical Area",19049,"Dallas County, IA"
19780,"Des Moines, IA Metropolitan Statistical Area",19181,"Warren County, IA"
19820,"Detroit-Warren-Livonia,  MI Metropolitan Statistical Area",26147,"St. Clair County, MI"
19820,"Detroit-Warren-Livonia,  MI Metropolitan Statistical Area",26125,"Oakland County, MI"
19820,"Detroit-Warren-Livonia,  MI Metropolitan Statistical Area",26099,"Macomb County, MI"
